Date,Open,High,Low,Close,Volume,Adj Close
2010-12-29,99.00,103.00,99.00,102.50,756100,102.49
2010-12-28,99.10,99.10,99.10,99.10,6000,99.09
2010-12-27,99.00,99.00,99.00,99.00,000,98.99
2010-12-24,99.00,99.00,99.00,99.00,000,98.99
2010-12-23,99.00,99.00,99.00,99.00,90800,98.99
2010-12-21,98.00,99.30,98.00,99.30,431000,99.29
2010-12-17,98.00,98.00,98.00,98.00,1000,97.99
2010-12-16,98.00,98.00,96.80,96.80,241900,96.79
2010-12-15,98.50,98.50,98.00,98.00,260000,97.99
2010-12-14,99.50,99.50,99.50,99.50,200000,99.49
2010-12-13,100.50,100.50,100.00,100.00,82800,99.99
2010-12-10,100.00,100.00,99.50,100.00,180600,99.99
2010-12-09,100.00,100.00,99.50,100.00,9000,99.99
2010-12-08,100.00,100.00,99.75,100.00,264300,99.99
2010-12-07,98.50,100.00,97.50,100.00,51842100,99.99
2010-12-06,100.00,100.00,100.00,100.00,28900,99.99
2010-12-03,100.00,100.00,100.00,100.00,22000,99.99
2010-12-02,100.00,100.00,99.50,99.50,48000,99.49
2010-12-01,100.00,100.50,100.00,100.00,494100,99.99
2010-11-30,100.00,100.00,99.20,99.20,2829700,99.19
2010-11-29,100.00,100.00,99.00,100.00,76800,99.99
2010-11-26,99.50,102.00,99.50,100.00,957800,99.99
2010-11-25,97.00,97.80,97.00,97.80,245000,97.79
2010-11-24,95.80,96.90,95.80,96.90,5500,96.89
2010-11-23,96.70,96.70,96.50,96.50,300000,96.49
2010-11-22,97.00,97.00,97.00,97.00,70500,96.99
2010-11-18,96.50,97.20,96.50,97.20,400000,97.19
2010-11-17,94.90,95.90,94.90,95.90,442200,95.89
2010-11-15,93.60,93.60,93.60,93.60,6000,93.59
2010-11-12,94.50,94.50,94.50,94.50,23300,94.49
2010-11-11,94.00,94.00,94.00,94.00,200000,93.99
2010-11-10,94.00,94.00,93.00,93.00,74000,92.99
2010-11-09,95.00,95.00,93.20,94.30,282000,94.29
2010-11-08,95.00,95.00,95.00,95.00,1300,94.99
2010-11-05,94.60,96.00,94.60,96.00,12700,95.99
2010-11-04,95.80,95.80,95.80,95.80,15000,95.79
2010-11-03,95.50,96.00,95.50,96.00,96800,95.99
2010-11-02,96.00,96.00,94.50,94.50,18200,94.49
2010-11-01,96.10,96.80,95.80,96.80,302000,96.79
2010-10-29,97.00,98.40,97.00,97.60,303000,97.59
2010-10-28,98.70,100.00,97.60,97.60,556100,97.59
2010-10-27,97.20,97.20,96.10,96.10,500000,96.09
2010-10-26,96.90,97.00,96.90,97.00,164700,96.99
2010-10-25,97.30,97.30,97.00,97.00,300000,96.99
2010-10-22,98.70,98.80,98.70,98.80,60000,98.79
2010-10-21,97.50,98.70,97.50,97.50,000,97.49
2010-10-20,97.30,98.50,97.30,97.30,000,97.29
2010-10-19,97.30,98.50,97.30,97.30,000,97.29
2010-10-18,97.70,97.70,97.70,97.70,130700,97.69
2010-10-15,95.70,98.50,95.70,98.50,853000,98.49
2010-10-14,96.10,96.10,94.60,94.60,33500,94.59
2010-10-13,94.50,95.70,94.50,95.70,597500,95.69
2010-10-12,93.10,94.50,93.10,93.10,000,93.09
2010-10-11,93.30,93.30,93.10,93.10,601300,93.09
2010-10-08,92.00,92.00,92.00,92.00,36100,91.99
2010-10-07,91.90,91.90,91.90,91.90,1400,91.89
2010-10-06,92.30,92.80,91.70,91.70,828500,91.69
2010-10-05,91.00,91.00,90.60,90.60,174500,90.59
2010-10-04,91.00,91.00,91.00,91.00,48000,90.99
2010-10-01,91.00,91.00,91.00,91.00,37500,90.99
2010-09-30,91.20,92.30,91.20,92.30,35000,92.29
2010-09-29,92.00,92.00,92.00,92.00,16600,91.99
2010-09-28,91.00,91.50,91.00,91.10,25700,91.09
2010-09-27,91.50,92.00,91.50,91.50,000,91.49
2010-09-24,90.70,91.00,90.00,91.00,601000,90.99
2010-09-23,93.10,93.10,91.80,91.80,1300000,91.79
2010-09-22,93.50,93.50,92.20,93.40,603000,93.39
2010-09-21,93.50,94.20,92.80,94.20,934300,94.19
2010-09-20,93.70,93.70,93.10,93.10,611000,93.09
2010-09-17,93.60,94.90,93.60,93.60,000,93.59
2010-09-16,94.00,94.90,93.60,94.90,63200,94.89
2010-09-15,93.90,94.70,93.90,93.90,000,93.89
2010-09-14,94.40,94.50,93.60,94.50,68600,94.49
2010-09-13,93.30,93.30,93.30,93.30,35800,93.29
2010-09-10,94.00,94.00,94.00,94.00,47000,93.99
2010-09-09,93.10,93.10,93.10,93.10,4200,93.09
2010-09-08,93.50,93.70,92.20,93.70,583000,93.69
2010-09-07,94.00,94.60,93.40,93.40,326500,93.39
2010-09-06,93.50,93.90,93.30,93.50,800000,93.49
2010-09-03,93.60,93.60,92.50,93.00,454300,92.99
2010-09-02,95.40,95.40,94.60,94.60,953400,94.59
2010-09-01,93.00,94.40,93.00,94.40,310800,94.39
2010-08-31,93.00,93.00,93.00,93.00,800,92.99
2010-08-30,94.00,94.00,94.00,94.00,35000,93.99
2010-08-27,92.90,93.80,92.20,93.80,1052700,93.79
2010-08-26,91.30,92.20,91.30,91.30,000,91.29
2010-08-25,92.70,92.70,92.00,92.00,243100,91.99
2010-08-24,92.90,92.90,92.90,92.90,51000,92.89
2010-08-23,92.40,92.40,92.40,92.40,150000,92.39
2010-08-20,92.90,92.90,92.00,92.00,20000,91.99
2010-08-19,92.10,93.50,92.10,92.30,630700,92.29
2010-08-18,92.00,92.10,92.00,92.10,111600,92.09
2010-08-17,91.50,92.00,91.50,91.50,000,91.49
2010-08-16,91.50,91.50,91.50,91.50,3300,91.49
2010-08-13,91.50,91.50,91.50,91.50,120000,91.49
2010-08-12,91.80,91.80,91.70,91.70,500000,91.69
2010-08-11,91.80,91.80,91.80,91.80,18300,91.79
2010-08-10,91.80,91.80,91.80,91.80,11000,91.79
2010-08-09,92.00,92.00,92.00,92.00,200000,91.99
2010-08-06,90.70,90.70,90.70,90.70,9600,90.69
2010-08-05,91.00,91.00,91.00,91.00,21100,90.99
2010-08-04,91.50,92.00,91.50,91.50,000,91.49
2010-08-03,90.50,91.50,90.50,91.50,266900,91.49
2010-08-02,91.00,91.00,91.00,91.00,000,90.99
2010-07-30,91.00,91.00,91.00,91.00,4000,90.99
2010-07-29,92.00,92.00,89.90,91.00,1052900,90.99
2010-07-28,97.00,97.00,96.00,96.30,360000,96.29
2010-07-27,94.20,97.30,94.20,97.00,732700,96.99
2010-07-26,93.00,93.50,93.00,93.00,000,92.99
2010-07-23,93.00,93.40,93.00,93.40,95500,93.39
2010-07-22,92.50,92.50,92.50,92.50,100000,92.49
2010-07-21,91.30,91.50,91.30,91.50,300000,91.49
2010-07-20,90.10,90.15,90.10,90.15,331400,90.14
2010-07-19,90.10,90.10,90.10,90.10,2500,90.09
2010-07-16,90.10,90.10,90.10,90.10,20300,90.09
2010-07-15,90.10,90.10,90.10,90.10,3500,90.09
2010-07-14,90.10,91.30,90.10,90.10,000,90.09
2010-07-13,90.30,91.30,90.30,90.30,100,90.29
2010-07-12,90.10,90.70,90.10,90.10,000,90.09
2010-07-09,90.30,90.30,90.30,90.30,120000,90.29
2010-07-08,90.30,90.80,90.30,90.80,65000,90.79
2010-07-07,89.20,90.00,89.20,90.00,302000,89.99
2010-07-06,88.20,88.30,88.20,88.30,300000,88.29
2010-07-05,88.00,88.00,87.70,87.70,450000,87.69
2010-07-02,88.60,88.60,88.40,88.40,427200,88.39
2010-07-01,89.80,89.80,89.00,89.00,340000,88.99
2010-06-30,90.00,90.00,90.00,90.00,20500,89.99
2010-06-29,91.00,91.00,90.00,90.00,65000,89.99
2010-06-28,90.50,90.50,90.50,90.50,10000,90.49
2010-06-25,91.20,91.20,90.00,90.00,442000,89.99
2010-06-24,91.80,92.20,91.30,91.30,124000,91.29
2010-06-23,87.90,92.70,87.90,91.80,1437500,91.79
2010-06-22,86.50,87.30,86.50,86.50,000,86.49
2010-06-21,86.60,86.80,86.60,86.80,300000,86.79
2010-06-18,85.00,86.00,85.00,85.50,302200,85.49
2010-06-17,84.70,84.70,84.70,84.70,000,84.69
2010-06-16,84.70,85.00,84.70,84.70,000,84.69
2010-06-15,85.00,85.00,84.50,85.00,210000,84.99
2010-06-14,84.30,85.00,84.30,84.70,806000,84.69
2010-06-11,83.30,84.50,83.30,84.50,444400,84.49
2010-06-10,80.80,83.00,80.80,83.00,730000,82.99
2010-06-09,81.30,81.30,81.30,81.30,2000,81.29
2010-06-08,80.20,80.60,80.20,80.30,424900,80.29
2010-06-07,79.60,80.20,79.50,80.20,73100,80.19
2010-06-04,80.20,81.20,79.80,79.80,800000,79.79
2010-06-03,78.40,79.90,78.40,79.70,503000,79.69
2010-06-02,77.30,78.10,77.30,78.10,800000,78.09
2010-06-01,76.10,77.10,76.10,77.10,115900,77.09
2010-05-31,76.20,76.30,75.10,75.10,302000,75.09
2010-05-28,75.30,75.30,75.30,75.30,2000,75.29
2010-05-27,75.10,75.50,75.10,75.50,557300,75.49
2010-05-26,74.10,74.10,74.10,74.10,2000,74.09
2010-05-25,75.00,75.00,75.00,75.00,100000,74.99
2010-05-24,75.00,75.00,75.00,75.00,000,74.99
2010-05-21,76.90,76.90,75.00,75.00,830700,74.99
2010-05-20,75.20,77.10,75.20,77.00,459000,76.99
2010-05-19,82.00,82.00,75.20,75.20,974300,75.19
2010-05-18,83.00,83.00,82.00,82.00,1670000,81.99
2010-05-17,84.00,84.00,83.80,84.00,308900,83.99
2010-05-14,84.90,84.90,84.20,84.20,220700,84.19
2010-05-13,85.00,85.00,85.00,85.00,000,84.99
2010-05-12,85.00,85.90,85.00,85.00,000,84.99
2010-05-11,86.20,86.20,85.90,85.90,210600,85.89
2010-05-10,86.30,86.30,86.30,86.30,57600,86.29
2010-05-07,91.00,91.00,84.50,86.40,2167500,86.39
2010-05-06,93.50,93.50,90.90,90.90,916400,90.89
2010-05-05,93.30,93.30,93.00,93.00,195000,92.99
2010-05-04,94.00,94.00,93.30,93.30,149500,93.29
2010-05-03,93.50,93.50,93.50,93.50,92500,93.49
2010-04-30,93.50,94.00,93.50,93.60,297100,93.59
2010-04-29,94.50,94.50,92.80,92.80,1231900,92.79
2010-04-28,91.40,93.80,91.40,93.80,1064500,93.79
2010-04-27,86.10,91.00,86.10,91.00,1252800,90.99
2010-04-26,84.00,86.00,84.00,86.00,1301000,85.99
2010-04-23,83.40,83.40,83.30,83.30,60600,83.29
2010-04-22,84.30,84.30,84.30,84.30,000,84.29
2010-04-21,83.30,84.30,83.30,84.30,17800,84.29
2010-04-20,84.30,84.30,83.50,84.30,115000,84.29
2010-04-19,84.30,84.30,84.00,84.30,14300,84.29
2010-04-16,83.80,83.80,83.80,83.80,92100,83.79
2010-04-15,84.00,84.00,83.80,83.80,74000,83.79
2010-04-14,82.45,84.60,82.30,83.80,1002000,83.79
2010-04-13,82.90,82.90,82.90,82.90,4800,82.89
2010-04-12,82.90,82.90,82.90,82.90,1000,82.89
2010-04-09,82.20,82.20,82.20,82.20,150000,82.19
2010-04-08,82.10,82.10,82.10,82.10,10000,82.09
2010-04-07,82.00,82.50,82.00,82.40,669100,82.39
2010-04-06,79.50,82.70,78.50,82.00,1324000,81.99
2010-04-05,78.50,78.50,78.50,78.50,000,78.49
2010-04-02,78.50,78.50,78.50,78.50,000,78.49
2010-04-01,78.50,78.50,78.50,78.50,000,78.49
2010-03-31,78.50,78.50,78.50,78.50,48500,78.49
2010-03-30,78.50,79.10,78.50,78.50,000,78.49
2010-03-29,78.60,79.00,78.50,78.50,199000,78.49
2010-03-26,79.50,79.50,79.50,79.50,13500,79.49
2010-03-25,78.10,79.20,78.10,79.20,453000,79.19
2010-03-24,77.30,78.10,77.30,77.30,000,77.29
2010-03-23,78.20,78.20,78.10,78.20,47100,78.19
2010-03-22,78.10,78.10,77.20,77.20,75500,77.19
2010-03-19,77.00,78.70,77.00,77.80,1520600,77.79
2010-03-18,75.50,78.00,75.00,76.70,1240100,76.69
2010-03-17,72.20,75.50,72.20,74.40,1550000,74.39
2010-03-16,71.30,72.20,71.30,72.20,57000,72.19
2010-03-15,70.00,72.10,70.00,72.10,819700,72.09
2010-03-12,70.00,70.90,70.00,70.90,16600,70.89
2010-03-11,70.70,70.70,70.70,70.70,50000,70.69
2010-03-10,69.90,70.90,69.90,69.90,000,69.89
2010-03-09,69.80,69.80,69.80,69.80,7200,69.79
2010-03-08,69.90,70.70,69.90,70.70,56100,70.69
2010-03-05,70.00,70.00,70.00,70.00,50000,69.99
2010-03-04,69.80,69.80,69.80,69.80,303400,69.79
2010-03-03,72.40,72.40,69.70,69.70,733100,69.69
2010-03-02,72.70,73.00,71.70,71.70,900000,71.69
2010-03-01,69.50,73.00,69.50,73.00,1201200,72.99
2010-02-26,68.30,70.20,68.30,70.00,3132500,69.99
2010-02-25,65.30,68.20,65.30,67.70,1285200,67.69
2010-02-24,63.00,65.60,63.00,65.10,2473300,65.09
2010-02-23,63.00,63.00,63.00,63.00,15000,62.99
2010-02-22,62.70,63.00,62.70,63.00,47500,62.99
2010-02-19,62.50,62.50,62.50,62.50,191400,62.49
2010-02-18,62.70,62.90,62.70,62.90,450900,62.89
2010-02-17,62.00,62.70,62.00,62.70,1325000,62.69
2010-02-16,61.20,62.50,61.20,61.20,000,61.19
2010-02-15,61.20,61.20,61.20,61.20,101000,61.19
2010-02-12,59.00,62.50,59.00,59.00,000,58.99
2010-02-11,60.00,61.00,60.00,61.00,351600,60.99
2010-02-10,60.00,60.00,60.00,60.00,50000,59.99
2010-02-09,58.80,60.10,58.80,59.80,1943400,59.79
2010-02-08,58.00,58.00,57.90,57.90,134200,57.89
2010-02-05,58.10,58.10,57.00,58.00,2005200,57.99
2010-02-04,61.10,61.10,60.40,60.40,614500,60.39
2010-02-03,60.00,61.30,60.00,61.30,619700,61.29
2010-02-02,60.00,60.40,60.00,60.00,000,59.99
2010-02-01,60.40,60.40,60.40,60.40,24000,60.39
2010-01-29,60.30,60.30,60.30,60.30,23500,60.29
2010-01-28,61.30,61.30,59.90,59.90,2077700,59.89
2010-01-27,61.60,62.00,61.60,62.00,500800,61.99
